question_id	question_rank	document_title	paragraph_index
175	2	Arnold_Schwarzenegger	46
175	3	United_States_presidential_election,_2004	21
175	4	Genocide	19
175	5	Copyright_infringement	27
178	1	New_Haven,_Connecticut	10
178	2	New_Haven,_Connecticut	42
178	3	New_Haven,_Connecticut	39
178	4	New_Haven,_Connecticut	41
178	5	New_Haven,_Connecticut	3
181	1	Insect	15
181	2	Somerset	11
181	3	Greece	80
181	4	The_Bronx	4
181	5	Slavs	12
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	11
184	3	Dissolution_of_the_Soviet_Union	0
184	4	Armenia	33
184	5	Molotov%E2%80%93Ribbentrop_Pact	40
187	1	Institute_of_technology	33
187	2	Catalan_language	30
187	3	Institute_of_technology	11
187	4	Dissolution_of_the_Soviet_Union	35
187	5	Zhejiang	33
190	1	New_York_City	18
190	2	Raleigh,_North_Carolina	2
190	3	Detroit	0
190	4	Antibiotics	16
190	5	Military_history_of_the_United_States	10
193	1	Sahara	1
193	2	History_of_science	7
193	3	Carnival	6
193	4	New_York_City	95
193	5	Comics	1
196	1	Buddhism	99
196	2	Galicia_(Spain)	24
196	3	Professional_wrestling	13
196	4	Korean_War	49
196	5	Tibet	5
199	1	San_Diego	27
199	2	Oklahoma_City	69
199	3	San_Diego	29
199	4	San_Diego	38
199	5	Professional_wrestling	49
202	1	Mexico_City	22
202	2	Buddhism	146
202	3	Dutch_language	6
202	4	Sahara	0
202	5	USB	27
205	1	Slavs	35
205	2	Tajikistan	4
205	3	London	39
205	4	Russian_language	30
205	5	Child_labour	7
208	1	Red	32
208	2	Red	30
208	3	Green	23
208	4	Thuringia	25
208	5	Brigham_Young_University	2
211	1	Gamal_Abdel_Nasser	29
211	2	Mary_(mother_of_Jesus)	0
211	3	Emotion	19
211	4	Crimean_War	2
211	5	Seven_Years%27_War	44
214	1	Somerset	26
214	2	Ottoman_Empire	43
214	3	Kathmandu	39
214	4	History_of_science	4
214	5	Chihuahua_(state)	35
217	1	Cubism	30
217	2	Gothic_architecture	0
217	3	Tajikistan	7
217	4	Professional_wrestling	48
217	5	Cubism	34
220	1	Dominican_Order	27
220	2	Emotion	0
220	3	Zhejiang	19
220	4	Freemasonry	30
220	5	Armenia	49
223	1	Slavs	33
223	2	Political_corruption	48
223	3	Computer	8
223	4	Paris	40
223	5	Capital_punishment_in_the_United_States	25
226	1	Protestantism	17
226	2	Genocide	19
226	3	Mosaic	24
226	4	Pub	76
226	5	Hanover	13
229	1	Antibiotics	1
229	2	History_of_India	0
229	3	Sahara	19
229	4	United_States_Air_Force	28
229	5	United_States_Army	3
232	1	Crimean_War	33
232	2	Apollo	25
232	3	Galicia_(Spain)	16
232	4	Pope_Paul_VI	53
232	5	John,_King_of_England	40
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	1
235	3	The_Bronx	15
235	4	Institute_of_technology	54
235	5	Boston	74
238	1	Edmund_Burke	17
238	2	Black_people	10
238	3	London	56
238	4	Imperial_College_London	13
238	5	Himachal_Pradesh	20
241	1	Nanjing	1
241	2	Nanjing	65
241	3	Nanjing	3
241	4	Phonology	9
241	5	Kanye_West	2
244	1	University	14
244	2	Department_store	22
244	3	Institute_of_technology	69
244	4	North_Carolina	57
244	5	Culture	10
247	1	Westminster_Abbey	22
247	2	Thuringia	7
247	3	St._John%27s,_Newfoundland_and_Labrador	16
247	4	Modern_history	4
247	5	Insect	15
250	1	Plymouth	78
250	2	London	56
250	3	North_Carolina	45
250	4	Middle_Ages	57
250	5	Madonna_(entertainer)	4
253	1	Humanism	10
253	2	University_of_Notre_Dame	18
253	3	Plymouth	53
253	4	New_Delhi	24
253	5	Greece	70
256	1	Gothic_architecture	34
256	2	Madrasa	12
256	3	Ashkenazi_Jews	23
256	4	Late_Middle_Ages	9
256	5	Ottoman_Empire	32
259	1	Buddhism	15
259	2	Adult_contemporary_music	42
259	3	Mammal	12
259	4	Pub	82
259	5	Cork_(city)	11
262	1	Charleston,_South_Carolina	0
262	2	Greece	80
262	3	Quran	21
262	4	Marshall_Islands	30
262	5	Switzerland	71
265	1	Dog	50
265	2	Dog	66
265	3	New_Delhi	45
265	4	Dog	27
265	5	Saint_Helena	78
268	1	St._John%27s,_Newfoundland_and_Labrador	22
268	2	Estonia	64
268	3	Queen_(band)	16
268	4	Gene	28
268	5	Intellectual_property	6
271	1	Mexico_City	40
271	2	Nanjing	30
271	3	Utrecht	15
271	4	Mexico_City	0
271	5	Mexico_City	65
274	1	Federal_Bureau_of_Investigation	13
274	2	New_York_City	16
274	3	Oklahoma_City	80
274	4	Miami	44
274	5	Himachal_Pradesh	2
277	1	Saint_Helena	78
277	2	Paris	58
277	3	Gothic_architecture	31
277	4	San_Diego	14
277	5	Carnival	25
280	1	Marshall_Islands	19
280	2	Warsaw_Pact	13
280	3	Israel	53
280	4	Madrasa	12
280	5	Ottoman_Empire	30
283	1	Detroit	38
283	2	Chihuahua_(state)	3
283	3	Chihuahua_(state)	23
283	4	Athanasius_of_Alexandria	15
283	5	British_Isles	15
286	1	East_India_Company	30
286	2	Dutch_Republic	15
286	3	East_India_Company	24
286	4	History_of_India	66
286	5	Saint_Helena	8
289	1	John_Kerry	3
289	2	London	56
289	3	North_Carolina	45
289	4	Middle_Ages	57
289	5	Alexander_Graham_Bell	43
292	1	Raleigh,_North_Carolina	9
292	2	Valencia	17
292	3	North_Carolina	54
292	4	North_Carolina	1
292	5	Rajasthan	14
295	1	Kathmandu	0
295	2	Ministry_of_Defence_(United_Kingdom)	6
295	3	Catalan_language	44
295	4	Brigham_Young_University	17
295	5	Canadian_Armed_Forces	2
298	1	Cyprus	46
298	2	Adolescence	16
298	3	Anthropology	37
298	4	Saint_Helena	4
298	5	Aspirated_consonant	30
